efo.id,parent_efo.id
http://www.orpha.net/ORDO/Orphanet_90342,http://www.orpha.net/ORDO/Orphanet_910
http://www.orpha.net/ORDO/Orphanet_910,http://www.orpha.net/ORDO/Orphanet_363245
http://www.orpha.net/ORDO/Orphanet_910,http://www.orpha.net/ORDO/Orphanet_183422
http://www.orpha.net/ORDO/Orphanet_910,http://www.orpha.net/ORDO/Orphanet_139027
http://www.orpha.net/ORDO/Orphanet_910,http://www.orpha.net/ORDO/Orphanet_98097
http://www.orpha.net/ORDO/Orphanet_910,http://www.orpha.net/ORDO/Orphanet_183490
http://www.orpha.net/ORDO/Orphanet_910,http://purl.obolibrary.org/obo/MONDO_0019304
http://www.orpha.net/ORDO/Orphanet_910,http://purl.obolibrary.org/obo/MONDO_0015333
http://purl.obolibrary.org/obo/HP_0002140,http://purl.obolibrary.org/obo/HP_0002637
http://purl.obolibrary.org/obo/HP_0002637,http://www.ebi.ac.uk/efo/EFO_0000556
http://www.ebi.ac.uk/efo/EFO_0008524,http://purl.obolibrary.org/obo/MONDO_0002120
http://www.ebi.ac.uk/efo/EFO_0008524,http://www.ebi.ac.uk/efo/EFO_0000313
http://www.ebi.ac.uk/efo/EFO_0000313,http://www.ebi.ac.uk/efo/EFO_0006858
http://www.ebi.ac.uk/efo/EFO_0000313,http://www.ebi.ac.uk/efo/EFO_0000311
http://www.ebi.ac.uk/efo/EFO_0005592,http://purl.obolibrary.org/obo/MONDO_0004805
http://www.ebi.ac.uk/efo/EFO_0005592,http://www.ebi.ac.uk/efo/EFO_0004289
http://www.ebi.ac.uk/efo/EFO_0004289,http://purl.obolibrary.org/obo/MONDO_0001018
http://www.ebi.ac.uk/efo/EFO_0004289,http://www.ebi.ac.uk/efo/EFO_0001642
http://www.orpha.net/ORDO/Orphanet_646,http://www.ebi.ac.uk/efo/EFO_0005815
http://www.orpha.net/ORDO/Orphanet_646,http://purl.obolibrary.org/obo/MONDO_0020143
http://www.orpha.net/ORDO/Orphanet_646,http://www.orpha.net/ORDO/Orphanet_98687
http://www.orpha.net/ORDO/Orphanet_646,http://www.orpha.net/ORDO/Orphanet_98666
http://www.orpha.net/ORDO/Orphanet_646,http://purl.obolibrary.org/obo/MONDO_0018299
http://www.orpha.net/ORDO/Orphanet_646,http://purl.obolibrary.org/obo/MONDO_0017037
http://www.orpha.net/ORDO/Orphanet_646,http://www.orpha.net/ORDO/Orphanet_68385
http://www.orpha.net/ORDO/Orphanet_646,http://www.orpha.net/ORDO/Orphanet_166472
http://www.orpha.net/ORDO/Orphanet_646,http://www.orpha.net/ORDO/Orphanet_183500
http://www.orpha.net/ORDO/Orphanet_646,http://www.ebi.ac.uk/efo/EFO_1001380
http://www.ebi.ac.uk/efo/EFO_1001380,http://www.orpha.net/ORDO/Orphanet_79225
http://www.ebi.ac.uk/efo/EFO_1001380,http://purl.obolibrary.org/obo/MONDO_0015531
http://www.ebi.ac.uk/efo/EFO_1001380,http://www.orpha.net/ORDO/Orphanet_271870
http://www.ebi.ac.uk/efo/EFO_1001380,http://www.ebi.ac.uk/efo/EFO_1000017
http://www.orpha.net/ORDO/Orphanet_805,http://www.orpha.net/ORDO/Orphanet_98701
http://www.orpha.net/ORDO/Orphanet_805,http://www.orpha.net/ORDO/Orphanet_98601
http://www.orpha.net/ORDO/Orphanet_805,http://www.orpha.net/ORDO/Orphanet_166466
http://www.orpha.net/ORDO/Orphanet_805,http://www.orpha.net/ORDO/Orphanet_98196
http://www.orpha.net/ORDO/Orphanet_805,http://www.orpha.net/ORDO/Orphanet_183763
http://www.orpha.net/ORDO/Orphanet_805,http://www.orpha.net/ORDO/Orphanet_183481
http://www.orpha.net/ORDO/Orphanet_805,http://www.orpha.net/ORDO/Orphanet_183422
http://www.orpha.net/ORDO/Orphanet_805,http://www.orpha.net/ORDO/Orphanet_180772
